GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DevoirC306,default,GrilleImpl,45,211,24,32,8,33,21,14,0,7
DevoirC306,default,Grille,0,68,0,0,0,1,0,1,0,1
